state,2016,2017,2018,2019,2020
Georgia,90.77,91.71,93.79,94.66,94.21
Georgia,93.65,94.46,94.99,96.11,95.85
Georgia,90.72,92.46,93.74,94.59,94.43
Georgia,95.15,95.78,96.47,96.76,96.71
Georgia,92.08,93.74,94.81,95.49,95.49
Georgia,91.1,92.3,93.53,94.46,94.21
Georgia,92.25,92.58,94.51,95.77,96.86
Georgia,93.15,96.67,96.67,98.14,98.62
Georgia,92.21,93.25,94.55,95.11,95.24
Georgia,92.27,94.26,95.42,96.67,96.5
Georgia,90.82,92.03,93.41,95.12,96.93
Georgia,93.39,93.51,95.06,94.48,95.6
Georgia,93.15,94.16,95.27,95.81,95.95
Georgia,92.78,94.52,96.03,96.92,97.57
Georgia,94.28,95.35,96.31,96.4,96.47
Georgia,89.69,95.98,95.97,96.85,97.51
Georgia,89.71,92.8,95.15,95.97,95.73
Georgia,91.92,91.51,92.85,93.04,93.75
Georgia,94.41,95.29,95.13,94.36,93.79
Georgia,90.22,90.39,92.25,94.8,92.64
Georgia,91.08,92.32,93.3,94.31,94.29
Georgia,91.2,92.25,93.01,93.7,94.51
Georgia,93.08,92.59,90.83,90.03,87.99
Georgia,93.23,93.47,95.18,95.9,96.06
Georgia,91.23,92.77,93.45,94.18,94.88
Georgia,94.74,94.97,94.06,93.19,94.66
Georgia,86.72,91.46,93.08,95.01,93.34
Georgia,93.78,93.72,96,95.54,96.09
Georgia,90.73,88.56,90.99,90.63,88.22
Georgia,91.95,91.28,92.61,94.64,96.01
Georgia,86.96,88.56,88.86,92.43,91.93
Georgia,86.11,89.42,91.3,95.1,95.98
Georgia,94.06,94.9,95.19,94.65,94.96
Georgia,93.07,92.86,92.58,93.31,95.31
Georgia,87,88.09,88.58,90.15,90.7
Georgia,90.94,93.95,95.43,96.59,95.95
Georgia,83.68,82.84,84.93,87.98,87.61
Georgia,89.03,90.83,92.41,93.48,94.19
Georgia,93.21,94.04,95.54,95.6,95.23
Georgia,91.41,91.92,91.72,92.97,93.68
Georgia,90.07,90.79,92.12,93.96,95.9
Georgia,83.07,83.21,88.04,88.28,90.8
Georgia,91.99,92.04,91.49,92.66,93.72
Georgia,85.55,89.98,89.7,93.33,93.55
Georgia,88.82,91.87,94.07,93.84,94.4
Georgia,92.15,94.31,94.99,92.95,92.99
Georgia,83.37,84.82,86.27,86.78,89.13
Georgia,90.96,90.62,92.06,93.02,96.31
Georgia,94.23,93.35,92.78,92.24,92.19
Georgia,93.05,94.34,94.29,96.12,97.02
Georgia,91.11,92.62,92.18,93.45,93.5
Georgia,89.95,90.04,90.75,90.85,91.42
Georgia,89.43,90.98,92.28,93.37,93.84
Georgia,95.78,95.6,96.53,96.98,97.07
Georgia,94.39,94.19,95.28,94.78,94.79
Georgia,93.24,94.83,95.74,95.86,95.73
Georgia,89.55,91.35,90.84,90.34,90.31
Georgia,92.8,93.02,93.85,95.1,95.43
Georgia,91.7,93.79,94.19,93.52,94.95
Georgia,89.99,91.04,93.63,94.49,94.98
Georgia,91.27,92.77,94.05,95.06,94.65
Georgia,94.08,93.31,95.19,94.26,94.8
Georgia,91.97,93.52,95.42,95.83,96.55
Georgia,81.47,87.94,88.88,93.37,78.61
Georgia,93.25,94.28,95.79,95.76,95.93
Georgia,90.25,91.06,92.23,92.3,91.23
Georgia,88.52,88.36,89.7,91.02,90.71
Georgia,89.74,91.32,92.42,93.29,93.4
Georgia,87.04,85.82,87.34,90.31,91.97
Georgia,91.51,94.5,93.75,91.75,93.86
Georgia,91.26,92.66,92.33,93.24,95.22
Georgia,89.84,91.72,93.07,95.07,95.69
Georgia,89.45,88.31,90.88,91.72,93.61
Georgia,86.11,88.21,91.12,90.94,90.81
Georgia,87.3,89.4,90.79,91.52,93.52
Georgia,90.69,91.8,92.08,95.01,93.48
Georgia,88.35,90.48,90.63,92.71,95.79
Georgia,94.93,95.95,96.18,95.39,94.25
Georgia,82.09,85.9,88.29,89.54,95.21
Georgia,95.72,95.87,97.41,98.02,98.46
Georgia,87.87,89.62,91.41,92.48,92.56
Georgia,90.2,90.7,91.91,92.6,93.79
Georgia,94.91,96.06,97.12,97.31,97.18
Georgia,89.17,89.71,89.7,90.95,92.78
Georgia,91.09,93.23,94.55,95.71,95.85
Georgia,93.81,94.43,94.28,91.19,91.12
Georgia,89.26,91.14,92.12,93.55,94.23
Georgia,90.87,93.47,93.86,93.83,92.61
Georgia,92.26,93.74,93.07,93.93,95.94
Georgia,90.94,94.53,96.29,95.11,95.21
Georgia,87.53,88.84,91.83,94.22,95.67
Georgia,93.01,92.97,93.58,94.12,93.21
Georgia,92.19,93.06,93.96,94.88,95.23
Georgia,94.35,95.43,96.55,94.72,95.82
Georgia,87.46,91.76,91.97,95.18,96.34
Georgia,89.3,90.66,92.64,93.85,94.92
Georgia,87.17,90.45,92.42,93.85,94.61
Georgia,94.8,95.96,97.78,96.43,93.71
Georgia,92.47,90.89,88.97,86.61,92.82
Georgia,95.19,95.7,95.8,96.62,96.49
Georgia,90.37,91.96,93.7,94.69,94.05
Georgia,92.11,92.39,92.96,93.28,94.1
Georgia,91.38,92.53,95.68,96.97,97.73
Georgia,92.62,91.2,92.79,92,92.47
Georgia,91.77,90.33,93.53,92.95,93.63
Hawaii,92.56,93.17,94.07,93.84,93.67
Hawaii,94.9,95.47,95.69,96.02,95.82
Hawaii,100,100,100,100,100
Hawaii,94.93,95.59,96.03,96.19,96.45
Hawaii,93.99,95.07,95.56,96.01,94.86
Idaho,94.73,95.71,96.16,96.12,96.32
Idaho,89.22,91.34,88.87,91.4,88.45
Idaho,92.91,93.66,93.82,94.47,94.56
Idaho,96.63,96.3,96.88,97,96.27
Idaho,89.83,90.39,91.22,91.97,93.56
Idaho,93.36,94.8,95.66,95.19,94.53
Idaho,96.32,96.33,98.05,97.98,98.12
Idaho,91.7,93.95,93.58,94.64,98.08
Idaho,94.33,95.61,96.29,96.59,95.99
Idaho,95.27,96.23,96.24,96.58,96.11
Idaho,96.11,96.24,96.07,96.75,97.3
Idaho,93.24,93.3,94.16,95.2,96.5
Idaho,95.65,95.63,96.95,97.62,97.6
